Year,Month,UniqueCarrier,CarrierName,TotalAircrafts,TotalFlights,TotalDistance,AvgDistancePerDay,AvgFlightsPerDay,TotalAirTime,TotalTravelTime,TimeOnGround,PctTimeOnGround
2001,Jun,NW,Northwest Airlines Inc.,383,47169,35278509,3351.62,4.40,214879.85430908203,302828.53425598145,336640.1456298828,61
2001,Jun,TW,Trans World Airways LLC,179,21738,18032842,3710.74,4.42,107901.34817504883,138530.53228759766,149858.65185546875,58
2001,Jun,UA,United Air Lines Inc.,596,64155,60721356,3907.32,4.04,349543.16580200195,422496.73808288574,508696.8342895508,59
2001,Jun,US,US Airways Inc.,421,60530,37365951,3242.98,5.16,246395.27938842773,338141.0433908999,359844.72076416016,59
2001,Jun,WN,Southwest Airlines Co.,357,79615,40532165,3929.46,7.74,239868.24017333984,313217.23583984375,274211.75982666016,53
2001,Jul,AA,American Airlines Inc.,672,65232,67037170,3678.94,3.50,377274.1713256836,440052.24308776855,590405.8288273811,61
2001,Jul,AQ,Aloha Airlines Inc.,23,6034,1482043,2313.74,9.84,10949.015747070312,16691.09161376953,22170.984313964844,67
2001,Jul,AS,Alaska Airlines Inc.,101,15095,11874902,3940.10,5.02,63614.66116333008,85199.09558105469,81825.3388671875,56
2001,Jul,CO,Continental Air Lines Inc.,366,33555,34709881,3464.97,3.30,199670.67129516602,237095.02113342285,327369.3285522461,62
2001,Jul,DL,Delta Air Lines Inc.,592,74288,57611468,3456.66,4.39,334715.64042663574,467163.50800323486,517764.3593597412,61
2001,Jul,HP,America West Airlines Inc.,143,18647,16688609,4043.49,4.57,90509.18115234375,114271.8413696289,115410.81884765625,56
2001,Jul,MQ,Envoy Air,240,43379,11688498,1676.97,6.25,111772.66687011719,181582.00064086914,233827.3330078125,68
2001,Jul,NW,Northwest Airlines Inc.,392,49433,37140536,3376.62,4.36,222659.67471313477,304700.08418273926,341820.3255004883,61
2001,Jul,TW,Trans World Airways LLC,177,22272,18304537,3620.33,4.35,103863.55529785156,134133.67108154297,151016.44470214844,59
2001,Jul,UA,United Air Lines Inc.,605,66026,63053095,3878.32,3.96,355549.4453125,425294.8260345459,515650.55487060547,59
2001,Jul,US,US Airways Inc.,422,61545,38461266,3224.16,5.08,244503.1709136963,336430.65716552734,363176.82928466797,60
2001,Jul,WN,Southwest Airlines Co.,356,82934,42295775,3943.73,7.77,239597.61682128906,313539.80322265625,273042.38317871094,53
2001,Aug,AA,American Airlines Inc.,674,65542,67285630,3670.57,3.49,379150.4239349365,440831.51003456116,591409.5757920742,61
2001,Aug,AQ,Aloha Airlines Inc.,23,5912,1467140,2347.14,10.11,11255.15853881836,17083.10107421875,21864.84130859375,66
