Year,UniqueCarrier,CarrierName,TotalAircrafts,TotalFlights,TotalDistance,AvgDistancePerDay,AvgFlightsPerDay,TotalAirTime,TotalTravelTime,TimeOnGround,PctTimeOnGround,PctEfficiency,Month
2008,9E,Endeavor Air Inc.,1709,262208,118168788,2378.98,5.27,848604.4559750557,1324969.4454307556,1612355.544921875,66,34,"Total"
2008,AA,American Airlines Inc.,7657,604885,637069849,3410.51,3.10,3979081.314125061,4663537.471886158,7046998.685668945,64,36,"Total"
2008,AQ,Aloha Airlines Inc.,41,7800,3324846,3215.93,7.68,22334.731353759766,32733.944091796875,36705.26867675781,62,38,"Total"
2008,AS,Alaska Airlines Inc.,1351,151102,144742019,3859.99,4.06,821078.2171020508,1037940.921875,1124361.7835998535,58,42,"Total"
2008,B6,JetBlue Airways,1688,196091,215745855,4454.33,4.06,1195285.723449707,1325492.933517456,1235434.2766113281,51,49,"Total"
2008,CO,Continental Air Lines Inc.,4091,298455,344201013,3413.10,2.86,2168960.335571289,2455495.7559281588,3722079.6634521484,63,37,"Total"
2008,DL,Delta Air Lines Inc.,5040,451931,416476755,3124.46,3.36,2608187.2704315186,3278770.980837345,4649412.728668213,64,36,"Total"
2008,EV,ExpressJet Airlines Inc.,1898,280575,124538592,2320.60,5.24,914706.2322845459,1454322.0351715088,1818413.7681274414,67,33,"Total"
2008,F9,Frontier Airlines Inc.,710,95762,84291468,4140.98,4.70,477026.4090576172,620703.321105957,545373.5908203125,53,47,"Total"
2008,FL,AirTran Airways Corporation,1672,261684,190280649,3828.52,5.26,1104157.9624938965,1404679.3941345215,1303522.037536621,54,46,"Total"
2008,HA,Hawaiian Airlines Inc.,365,61826,34688791,3492.56,6.23,202088.39456176758,255648.97299194336,323511.6055908203,62,38,"Total"
2008,MQ,Envoy Air,2985,490693,201593203,2385.90,5.84,1509049.8179626465,2274635.309753418,2789350.182373047,65,35,"Total"
2008,NW,Northwest Airlines Inc.,3383,347652,279436146,3297.00,3.78,1872454.708557129,2387031.008441925,2999065.2895507812,62,38,"Total"
2008,OH,Comair Inc.,1544,197607,96362582,2247.91,4.63,746909.8389054388,1129615.5702810287,1476450.161682129,66,34,"Total"
2008,OO,SkyWest Airlines Inc.,3330,567159,243546417,2560.44,6.01,1773507.8047180176,2711761.857635498,3021692.1951293945,63,37,"Total"
2008,UA,United Air Lines Inc.,5055,449515,484785762,3637.39,3.33,2812632.2934646606,3266091.040746689,4466567.707641602,61,39,"Total"
2008,US,US Airways Inc.,4227,453589,388224541,3343.30,3.87,2348465.6189346313,3062374.846973419,3738414.3819885254,61,39,"Total"
2008,WN,Southwest Airlines Co.,6321,1201754,763307895,4155.97,6.57,4385842.440979004,5467837.641204834,4716397.559082031,52,48,"Total"
2008,XE,ExpressJet Airlines Inc.,3081,374510,220656045,2617.70,4.42,1503656.035334587,2166085.6322021484,2932983.964416504,66,34,"Total"
2008,YV,Mesa Airlines Inc.,1451,254930,100334283,2449.89,6.27,773529.2966384888,1226907.2750778198,1315910.7034301758,63,37,"Total"
