Year,UniqueCarrier,CarrierName,TotalAircrafts,TotalFlightsPerCraft,TotalFlights,TotalDistance,TotalAirTimePerCraft,DaysFlownPerCraft,AvgAirTimePerDay,AvgFlightsPerDay,TotalAirTime,cancelled,Month
2004,UA,United Air Lines Inc.,172,48.50,6548.00,6037283,0.00,3.84,0.00,2.16,0.00,1,Total
2004,TZ,ATA Airlines d/b/a ATA,732,1133.58,74816.00,83981138,196482.95,286.55,676.74,3.88,12967875.00,0,Total
2004,TZ,ATA Airlines d/b/a ATA,279,11.75,717.00,742303,0.00,8.00,0.00,1.48,0.00,1,Total
2004,OO,SkyWest Airlines Inc.,2354,2110.07,453664.00,155864378,244844.02,314.91,775.41,6.70,52641465.00,0,Total
2004,OO,SkyWest Airlines Inc.,13,4892.00,9784.00,2817912,0.00,182.50,0.00,24.80,0.00,1,Total
2004,OH,Comair Inc.,1933,2180.18,359730.00,169952515,205214.13,339.79,601.02,6.39,33860332.00,0,Total
2004,OH,Comair Inc.,1681,82.52,13616.00,6122971,0.00,27.84,0.00,1.99,0.00,1,Total
2004,NW,Northwest Airlines Inc.,4616,1243.86,501276.00,372621608,160192.56,309.28,520.86,3.91,64557603.00,0,Total
2004,NW,Northwest Airlines Inc.,2257,15.98,6010.00,3263385,0.00,10.86,0.00,1.49,0.00,1,Total
2004,MQ,Envoy Air,2729,959.38,465301.00,170037327,81049.61,158.80,507.57,6.02,39309063.00,0,Total
2004,MQ,Envoy Air,12,17787.00,17787.00,6587842,0.00,366.00,0.00,48.43,0.00,1,Total
2004,HP,America West Airlines Inc.,1664,1329.87,192831.00,200689873,214827.00,329.63,648.45,4.03,31149915.00,0,Total
2004,HP,America West Airlines Inc.,991,21.00,3108.00,2932909,0.00,12.78,0.00,1.68,0.00,1,Total
2004,HA,Hawaiian Airlines Inc.,303,1711.25,47915.00,27738214,152724.54,290.64,518.42,6.02,4276287.00,0,Total
2004,HA,Hawaiian Airlines Inc.,12,162.00,162.00,62918,0.00,70.00,0.00,2.18,0.00,1,Total
2004,FL,AirTran Airways Corporation,946,1803.88,160545.00,100593712,207120.29,317.55,650.59,5.66,18433706.00,0,Total
2004,FL,AirTran Airways Corporation,514,24.25,2013.00,1150083,0.00,12.86,0.00,1.84,0.00,1,Total
2004,EV,ExpressJet Airlines Inc.,1612,1897.34,271319.00,115778786,168957.29,326.15,515.24,5.79,24160893.00,0,Total
2004,EV,ExpressJet Airlines Inc.,1375,53.49,7542.00,2960260,0.00,28.83,0.00,1.85,0.00,1,Total
2004,DL,Delta Air Lines Inc.,6355,1262.91,676921.00,563699911,177456.01,315.07,543.17,3.83,95116421.00,0,Total
2004,DL,Delta Air Lines Inc.,3181,21.14,10717.00,6894607,0.00,14.50,0.00,1.39,0.00,1,Total
2004,DH,Independence Air,1521,1758.00,256668.00,91612901,145859.95,277.76,519.44,6.30,21295553.00,0,Total
2004,DH,Independence Air,1327,55.14,8160.00,2956081,0.00,29.48,0.00,1.84,0.00,1,Total
2004,CO,Continental Air Lines Inc.,4144,821.63,297431.00,329853501,144534.19,286.65,489.23,2.72,52321376.00,0,Total
2004,CO,Continental Air Lines Inc.,12,1898.00,1898.00,1649281,0.00,207.00,0.00,8.50,0.00,1,Total
2004,B6,JetBlue Airways,740,1276.04,89323.00,119372642,250688.30,305.06,816.47,4.15,17548181.00,0,Total
2004,B6,JetBlue Airways,10,511.00,511.00,585344,0.00,27.00,0.00,8.34,0.00,1,Total
2004,AS,Alaska Airlines Inc.,1285,1484.75,163322.00,140536773,202848.27,329.67,612.16,4.53,22313310.00,0,Total
2004,AS,Alaska Airlines Inc.,12,3670.00,3670.00,2678430,0.00,353.00,0.00,10.27,0.00,1,Total
2004,AA,American Airlines Inc.,8566,886.49,686146.00,755251363,152119.68,273.53,532.25,3.04,117740634.00,0,Total
2004,AA,American Airlines Inc.,12,12402.00,12402.00,11818044,0.00,363.00,0.00,33.95,0.00,1,Total
2005,XE,ExpressJet Airlines Inc.,3075,1482.76,394414.00,209081482,159975.97,330.83,482.91,4.48,42553609.00,0,Total
2005,XE,ExpressJet Airlines Inc.,12,9353.00,9353.00,4209982,0.00,285.00,0.00,30.86,0.00,1,Total
2005,WN,Southwest Airlines Co.,5171,2282.83,1027275.00,624146136,232586.86,339.32,684.61,6.74,104664087.00,0,Total
